prov_name,cpro,munic_name,cmun,codmun,date,area_forestal_ha
Asturias,33,Degaña,22,33022,2017-10-11,1950
León,24,Palacios del Sil,109,24109,2017-10-12,573.5
Lugo,27,Cervantes,12,27012,2017-10-12,864
León,24,Villablino,202,24202,2017-10-13,719.44
Lugo,27,Cervantes,12,27012,2017-10-13,1785
Asturias,33,Allande,1,33001,2017-10-14,661.06
Asturias,33,Ibias,28,33028,2017-10-14,3379
Orense,32,Lobios,42,32042,2017-10-14,3425.48
Orense,32,Maceda,43,32043,2017-10-15,526.36
Asturias,33,Allande,1,33001,2017-10-15,553.8
Pontevedra,36,Mondariz,30,36030,2017-10-15,568.32
Orense,32,Esgos,31,32031,2017-10-15,573.03
Pontevedra,36,Ponteareas,42,36042,2017-10-15,645.18
Orense,32,Chandrexa de Queixa,29,32029,2017-10-15,741.03
Pontevedra,36,Salvaterra de Miño,50,36050,2017-10-15,770.14
Pontevedra,36,Tui,55,36055,2017-10-15,865.37
Asturias,33,Cangas del Narcea,11,33011,2017-10-15,962.9
Pontevedra,36,Caldas de Reis,5,36005,2017-10-15,1067.87
Orense,32,Parada de Sil,57,32057,2017-10-15,1275.62
Pontevedra,36,Gondomar,21,36021,2017-10-15,1384.92
Pontevedra,36,Nigrán,35,36035,2017-10-15,1483.25
Orense,32,San Cristovo de Cea,76,32076,2017-10-15,1520.34
León,24,Benuza,16,24016,2017-10-15,1521.76
Orense,32,Baños de Molgas,7,32007,2017-10-15,1599.97
Orense,32,A Gudiña,34,32034,2017-10-15,1809.14
Pontevedra,36,As Neves,34,36034,2017-10-15,2818.49
Orense,32,Melón,46,32046,2017-10-15,5965.86
Pontevedra,36,Ponteareas,42,36042,2017-10-15,8877.79
Lugo,27,Negueira de Muñiz,35,27035,2017-10-16,1104
Castellón,12,Culla,51,12051,2017-12-29,535.2
León,24,Santa Colomba de Curueño,151,24151,2018-05-12,645
Huelva,21,Nerva,52,21052,2018-08-02,1484.94
Valencia,46,Llutxent,150,46150,2018-08-06,3146.69
Asturias,33,Salas,59,33059,2019-03-06,770.22
La Coruña,15,Dodro,33,15033,2019-03-25,1192.71
Huelva,21,Beas,11,21011,2019-06-01,1483.1
Tarragona,43,La Torre de l'Espanyol,152,43152,2019-06-26,4072.24
Toledo,45,Toledo,168,45168,2019-06-28,1017.67
Ávila,5,Gavilanes,82,5082,2019-06-28,1414.86
Toledo,45,Almorox,13,45013,2019-06-28,3014.48
